#勒衔樊3“立生伙田及扜		6105	3220 11 10	﹋戋笮﹌
#厘妐侬﹜凝妐侬及嗉帎反卅中
#'_'反?心?壬仄


########## 瓜□旦平乓永皿毛当匀化中月桦宁 ##########
block Item 18350 >= 1
	#\n\n﹛公丹匹允井〞抯反勒衔樊午及炼互曰毛蝇切濠匀凶及匹允友〞恌井匀凶＿﹝丐及阂互允什卞仇仇卞枑匀化仁月仇午反﹜渝谨仄引六氏﹝?辉卞反﹜愤坌匹懦遥仄卅仃木壬卅日卅中仇午互凶仁今氏丐月元扎欠丹仄﹜醱★枑曰勿日中朿坌手丐月氏元扎欠﹝
	#\n\n﹛公氏卅仇午毛蜕歹内卞云凑中仄引允元扎〞
	Window 11625,YES,NO

	Window_YES ItemSpace >= 1 && Item 18404 >= 1
	GiveItem 18345,1
	#\n\n﹛恌井匀凶﹝匹反﹜嫔?云凑中仄引允匹允元扎﹝
	EndWindow 11626

	Window_NO
	#\n\n﹛公氏卅仇午毛蜕歹内卞云凑中仄引允元扎〞
	Window 11625,YES,NO

	Window_YES ItemSpace >= 1 && Item 18404 >= 1
	GiveItem 18345,1
	#\n\n﹛恌井匀凶﹝匹反﹜嫔?云凑中仄引允匹允元扎﹝
	EndWindow 11626

	Window_NO
	#\n\n﹛公氏卅仇午毛蜕歹内卞云凑中仄引允元扎〞
	Window 11625,YES,NO

	Window_YES ItemSpace >= 1 && Item 18404 >= 1
	GiveItem 18345,1
	#\n\n﹛恌井匀凶﹝匹反﹜嫔?云凑中仄引允匹允元扎﹝
	EndWindow 11626

	Window_NO
	#\n\n﹛公氏卅仇午毛蜕歹内卞云凑中仄引允元扎〞
	Window 11625,YES,NO

	Window_YES ItemSpace >= 1 && Item 18404 >= 1
	GiveItem 18345,1
	#\n\n﹛恌井匀凶﹝匹反﹜嫔?云凑中仄引允匹允元扎﹝
	EndWindow 11626

	Window_NO
	#\n\n﹛公氏卅仇午毛蜕歹内卞云凑中仄引允元扎〞
	Window 11625,YES,NO

	Window_YES ItemSpace >= 1 && Item 18404 >= 1
	GiveItem 18345,1
	#\n\n﹛恌井匀凶﹝匹反﹜嫔?云凑中仄引允匹允元扎﹝
	EndWindow 11626

	Window_NO
	#\n\n﹛公氏卅仇午毛蜕歹内卞云凑中仄引允元扎〞
	Window 11625,YES,NO

	Window_YES ItemSpace >= 1 && Item 18404 >= 1
	GiveItem 18345,1
	#\n\n﹛恌井匀凶﹝匹反﹜嫔?云凑中仄引允匹允元扎﹝
	EndWindow 11626

	Window_NO
	#\n\n﹛公氏卅仇午毛蜕歹内卞云凑中仄引允元扎〞
	Window 11625,YES,NO

	Window_YES ItemSpace >= 1 && Item 18404 >= 1
	GiveItem 18345,1
	#\n\n﹛恌井匀凶﹝匹反﹜嫔?云凑中仄引允匹允元扎﹝
	EndWindow 11626

	Window_NO
	#\n\n﹛公氏卅仇午毛蜕歹内卞云凑中仄引允元扎〞
	Window 11625,YES,NO

	Window_YES ItemSpace >= 1 && Item 18404 >= 1
	GiveItem 18345,1
	#\n\n﹛恌井匀凶﹝匹反﹜嫔?云凑中仄引允匹允元扎﹝
	EndWindow 11626

	Window_NO
	#\n\n﹛公氏卅仇午毛蜕歹内卞云凑中仄引允元扎〞
	Window 11625,YES,NO

	Window_YES ItemSpace >= 1 && Item 18404 >= 1
	GiveItem 18345,1
	#\n\n﹛恌井匀凶﹝匹反﹜嫔?云凑中仄引允匹允元扎﹝
	EndWindow 11626

	Window_YES ItemSpace == 0
	#\n\n﹛酸?元扎﹜仇及澎饼毛欐仄化手日中凶中及元扎互﹜丐卅凶及绂坁卞反坞五互卅中方丹元扎﹝
	EndWindow 11623

	Window_NO
	#\n\n﹛甩央甩央﹜丐氏凶卅井卅井尹尹漪岭仄午月及丹﹝立生伙田及蟆卞请化垫匀凶﹜秽阂及左术瓜弘手云蟆今氏心凶中卅杴毛仄切斤匀凶歹〞
	EndWindow 11627


########## 癫化反引日卅中桦宁 ##########
block
	#\n\n﹛丹切及抯互笮毛请化中匀凶匀五曰﹜枑匀化仇氏及元扎＿﹝\n﹛丐及阂互?太请仄化垫匀化井日﹜手丹??卞卅月﹝漆仍欠升仇匹窒毛仄化云月及支日﹝\n﹛引今井午反合丹互﹜丐氏凶﹜立生伙田匀切文丹抩蟆及抯毛妏中凶仇午反卅中井〝
	Window 11620,YES,NO

	Window_YES ItemSpace >= 1
	#\n\n﹛卅氏午﹜妏中化心月手氏元扎﹝\n﹛匹﹜丐及阂反升仇匹﹜窒毛仄化云匀凶及元扎〝项尹化仁木氏井﹝
	Window 11621,OK

	Window_OK ItemSpace >= 1
	GiveItem 18345,1
	#\n\n﹛公丹井﹜公氏卅仇午互＿﹝\n﹛丐卅凶卞嫔?俇心凶中仇午互丐月氏匹允元扎﹝\n﹛手仄引凶丐及阂毛苇井仃月仇午互丐匀凶日﹜仇及澎饼毛欐仄化支匀化仁木氏井﹝
	EndWindow 11622

	Window_OK ItemSpace == 0
	#\n\n﹛酸?元扎﹜仇及澎饼毛欐仄化手日中凶中及元扎互﹜丐卅凶及绂坁卞反坞五互卅中方丹元扎﹝
	EndWindow 11623

	Window_NO
	#\n\n﹛公丹匹允井﹜手仄恌井匀凶日匹中中氏元扎﹝\n﹛立生伙田午中丹抩蟆及抯毛苇勾仃凶日﹜仇及澎饼毛欐仄化手日尹引六氏井〝云凑中仄引允〞
	Window 11624,YES,NO

	Window_NO
	#\n\n﹛公氏卅仇午毛蜕歹内卞云凑中仄引允元扎〞
	Window 11625,YES,NO

	Window_YES ItemSpace >= 1
	GiveItem 18345,1
	#\n\n﹛恌井匀凶﹝匹反﹜嫔?云凑中仄引允匹允元扎﹝
	EndWindow 11626

	Window_NO
	#\n\n﹛公氏卅仇午毛蜕歹内卞云凑中仄引允元扎〞
	Window 11625,YES,NO

	Window_YES ItemSpace >= 1
	GiveItem 18345,1
	#\n\n﹛恌井匀凶﹝匹反﹜嫔?云凑中仄引允匹允元扎﹝
	EndWindow 11626

	Window_NO
	#\n\n﹛公氏卅仇午毛蜕歹内卞云凑中仄引允元扎〞
	Window 11625,YES,NO

	Window_YES ItemSpace >= 1
	GiveItem 18345,1
	#\n\n﹛恌井匀凶﹝匹反﹜嫔?云凑中仄引允匹允元扎﹝
	EndWindow 11626

	Window_NO
	#\n\n﹛公氏卅仇午毛蜕歹内卞云凑中仄引允元扎〞
	Window 11625,YES,NO

	Window_YES ItemSpace >= 1
	GiveItem 18345,1
	#\n\n﹛恌井匀凶﹝匹反﹜嫔?云凑中仄引允匹允元扎﹝
	EndWindow 11626

	Window_NO
	#\n\n﹛公氏卅仇午毛蜕歹内卞云凑中仄引允元扎〞
	Window 11625,YES,NO

	Window_YES ItemSpace >= 1
	GiveItem 18345,1
	#\n\n﹛恌井匀凶﹝匹反﹜嫔?云凑中仄引允匹允元扎﹝
	EndWindow 11626

	Window_NO
	#\n\n﹛公氏卅仇午毛蜕歹内卞云凑中仄引允元扎〞
	Window 11625,YES,NO

	Window_YES ItemSpace >= 1
	GiveItem 18345,1
	#\n\n﹛恌井匀凶﹝匹反﹜嫔?云凑中仄引允匹允元扎﹝
	EndWindow 11626

	Window_NO
	#\n\n﹛公氏卅仇午毛蜕歹内卞云凑中仄引允元扎〞
	Window 11625,YES,NO

	Window_YES ItemSpace >= 1
	GiveItem 18345,1
	#\n\n﹛恌井匀凶﹝匹反﹜嫔?云凑中仄引允匹允元扎﹝
	EndWindow 11626

	Window_NO
	#\n\n﹛公氏卅仇午毛蜕歹内卞云凑中仄引允元扎〞
	Window 11625,YES,NO

	Window_YES ItemSpace >= 1
	GiveItem 18345,1
	#\n\n﹛恌井匀凶﹝匹反﹜嫔?云凑中仄引允匹允元扎﹝
	EndWindow 11626

	Window_NO
	#\n\n﹛公氏卅仇午毛蜕歹内卞云凑中仄引允元扎〞
	Window 11625,YES,NO

	Window_YES ItemSpace >= 1
	GiveItem 18345,1
	#\n\n﹛恌井匀凶﹝匹反﹜嫔?云凑中仄引允匹允元扎﹝
	EndWindow 11626

	Window_YES ItemSpace == 0
	#\n\n﹛酸?元扎﹜仇及澎饼毛欐仄化手日中凶中及元扎互﹜丐卅凶及绂坁卞反坞五互卅中方丹元扎﹝
	EndWindow 11623

	Window_NO
	#\n\n﹛甩央甩央﹜丐氏凶卅井卅井尹尹漪岭仄午月及丹﹝立生伙田及蟆卞请化垫匀凶﹜秽阂及左术瓜弘手云蟆今氏心凶中卅杴毛仄切斤匀凶歹〞
	EndWindow 11627
