#序号	技能	职业	等级
227	207	11	1
228	208	11	1
229	209	11	1
230	210	11	1
231	211	11	1
232	212	11	1
233	213	11	1
234	214	11	1
235	215	11	1
236	216	11	1
237	217	11	1
238	218	11	1
239	219	11	1
240	220	11	1
241	221	11	0
242	222	11	0
243	223	11	1
244	224	11	1
245	225	11	1
246	226	11	1
247	227	11	1
248	250	11	1
249	251	11	1
250	252	11	1
251	253	11	1
252	0	12	6
253	1	12	6
254	2	12	0
255	3	12	6
256	4	12	3
257	5	12	4
258	6	12	4
259	7	12	4
260	8	12	6
261	9	12	6
262	10	12	1
263	11	12	4
264	12	12	6
265	13	12	2
266	14	12	2
267	15	12	2
268	16	12	2
269	17	12	2
270	18	12	2
271	19	12	2
272	20	12	2
273	21	12	2
274	22	12	2
275	23	12	2
276	24	12	2
277	25	12	2
278	26	12	2
279	27	12	2
280	28	12	2
281	29	12	2
282	30	12	2
283	31	12	2
284	32	12	2
285	33	12	2
286	34	12	2
287	35	12	2
288	36	12	2
289	37	12	2
290	38	12	2
291	39	12	2
292	40	12	2
293	41	12	2
294	42	12	2
295	43	12	2
296	44	12	2
297	45	12	2
298	46	12	2
299	47	12	2
300	48	12	2
301	49	12	2
302	50	12	2
303	51	12	2
304	52	12	2
305	53	12	2
306	54	12	2
307	55	12	2
308	56	12	2
309	57	12	2
310	58	12	2
311	59	12	2
312	60	12	2
313	61	12	2
314	62	12	2
315	63	12	2
316	64	12	2
317	65	12	2
318	66	12	2
319	67	12	2
320	68	12	2
321	69	12	2
322	70	12	2
323	71	12	2
324	72	12	0
325	73	12	0
326	74	12	0
327	75	12	0
328	76	12	0
329	77	12	0
330	78	12	0
331	79	12	0
332	80	12	0
333	81	12	0
334	82	12	0
335	83	12	0
336	84	12	0
337	85	12	0
338	86	12	0
339	87	12	0
340	88	12	0
341	89	12	0
342	93	12	0
343	150	12	0
344	160	12	0
345	170	12	0
346	200	12	1
347	201	12	1
348	202	12	1
349	203	12	1
350	204	12	1
351	205	12	1
352	206	12	1
353	207	12	1
354	208	12	1
355	209	12	1
356	210	12	1
357	211	12	1
358	212	12	1
359	213	12	1
360	214	12	1
361	215	12	1
362	216	12	1
363	217	12	1
364	218	12	1
365	219	12	1
366	220	12	1
367	221	12	0
368	222	12	0
369	223	12	1
370	224	12	1
371	225	12	1
372	226	12	1
373	227	12	1
374	250	12	1
375	251	12	1
376	252	12	1
377	253	12	1
378	0	13	8
379	1	13	8
380	2	13	0
381	3	13	8
382	4	13	4
383	5	13	5
384	6	13	5
385	7	13	5
386	8	13	8
387	9	13	8
388	10	13	1
389	11	13	5
390	12	13	8
391	13	13	2
392	14	13	2
393	15	13	2
394	16	13	2
395	17	13	2
396	18	13	2
397	19	13	2
398	20	13	2
399	21	13	2
400	22	13	2
401	23	13	2
402	24	13	2
403	25	13	2
404	26	13	2
405	27	13	2
406	28	13	2
407	29	13	2
408	30	13	2
409	31	13	2
410	32	13	2
411	33	13	2
412	34	13	2
413	35	13	2
414	36	13	2
415	37	13	2
416	38	13	2
417	39	13	2
418	40	13	2
419	41	13	2
420	42	13	2
421	43	13	2
422	44	13	2
423	45	13	2
424	46	13	2
425	47	13	2
426	48	13	2
427	49	13	2
428	50	13	2
429	51	13	2
430	52	13	2
431	53	13	2
432	54	13	2
433	55	13	2
434	56	13	2
435	57	13	2
436	58	13	2
437	59	13	2
438	60	13	2
439	61	13	2
440	62	13	2
441	63	13	2
442	64	13	2
443	65	13	2
444	66	13	2
445	67	13	2
446	68	13	2
447	69	13	2
448	70	13	2
449	71	13	2
450	72	13	0
451	73	13	0
452	74	13	0
453	75	13	0
454	76	13	0
455	77	13	0
456	78	13	0
457	79	13	0
458	80	13	0
459	81	13	0
460	82	13	0
461	83	13	0
462	84	13	0
463	85	13	0
464	86	13	0
465	87	13	0
466	88	13	0
467	89	13	0
468	93	13	0
469	150	13	0
470	160	13	0
471	170	13	0
472	200	13	1
473	201	13	1
474	202	13	1
475	203	13	1
476	204	13	1
477	205	13	1
478	206	13	1
479	207	13	1
480	208	13	1
481	209	13	1
482	210	13	1
483	211	13	1
484	212	13	1
485	213	13	1
486	214	13	1
487	215	13	1
488	216	13	1
489	217	13	1
490	218	13	1
491	219	13	1
492	220	13	1
493	221	13	0
494	222	13	0
495	223	13	1
496	224	13	1
497	225	13	1
498	226	13	1
499	227	13	1
500	250	13	1
501	251	13	1
502	252	13	1
503	253	13	1
504	0	14	10
505	1	14	10
506	2	14	0
507	3	14	10
508	4	14	4
509	5	14	6
510	6	14	6
511	7	14	6
512	8	14	10
513	9	14	10
514	10	14	1
515	11	14	6
516	12	14	10
517	13	14	2
518	14	14	2
519	15	14	2
520	16	14	2
521	17	14	2
522	18	14	2
523	19	14	2
524	20	14	2
525	21	14	2
526	22	14	2
527	23	14	2
528	24	14	2
529	25	14	2
530	26	14	2
531	27	14	2
532	28	14	2
533	29	14	2
534	30	14	2
535	31	14	2
536	32	14	2
537	33	14	2
538	34	14	2
539	35	14	2
540	36	14	2
541	37	14	2
542	38	14	2
543	39	14	2
544	40	14	2
545	41	14	2
546	42	14	2
547	43	14	2
548	44	14	2
549	45	14	2
550	46	14	2
551	47	14	2
552	48	14	2
553	49	14	2
554	50	14	2
555	51	14	2
556	52	14	2
557	53	14	2
558	54	14	2
559	55	14	2
560	56	14	2
561	57	14	2
562	58	14	2
563	59	14	2
564	60	14	2
565	61	14	2
566	62	14	2
567	63	14	2
568	64	14	2
569	65	14	2
570	66	14	2
571	67	14	2
572	68	14	2
573	69	14	2
574	70	14	2
575	71	14	2
576	72	14	0
577	73	14	0
578	74	14	0
579	75	14	0
580	76	14	0
581	77	14	0
582	78	14	0
583	79	14	0
584	80	14	0
585	81	14	0
586	82	14	0
587	83	14	0
588	84	14	0
589	85	14	0
590	86	14	0
591	87	14	0
592	88	14	0
593	89	14	0
594	93	14	0
595	150	14	0
596	160	14	0
597	170	14	0
598	200	14	1
599	201	14	1
600	202	14	1
601	203	14	1
602	204	14	1
603	205	14	1
604	206	14	1
605	207	14	1
606	208	14	1
607	209	14	1
608	210	14	1
609	211	14	1
610	212	14	1
611	213	14	1
612	214	14	1
613	215	14	1
614	216	14	1
615	217	14	1
616	218	14	1
617	219	14	1
618	220	14	1
619	221	14	0
620	222	14	0
621	223	14	1
622	224	14	1
623	225	14	1
624	226	14	1
625	227	14	1
626	250	14	1
627	251	14	1
628	252	14	1
629	253	14	1
630	0	15	10
631	1	15	10
632	2	15	0
633	3	15	10
634	4	15	5
635	5	15	7
636	6	15	7
637	7	15	7
638	8	15	10
639	9	15	10
640	10	15	2
641	11	15	7
642	12	15	10
643	13	15	3
644	14	15	3
645	15	15	3
646	16	15	3
647	17	15	3
648	18	15	3
649	19	15	3
650	20	15	3
651	21	15	3
652	22	15	3
653	23	15	3
654	24	15	3
655	25	15	3
656	26	15	3
657	27	15	3
658	28	15	3
659	29	15	3
660	30	15	3
661	31	15	3
662	32	15	3
663	33	15	3
664	34	15	3
665	35	15	3
666	36	15	3
667	37	15	3
668	38	15	3
669	39	15	3
670	40	15	3
671	41	15	3
672	42	15	3
673	43	15	3
674	44	15	3
675	45	15	3
676	46	15	3
677	47	15	3
678	48	15	3
679	49	15	3
680	50	15	3
681	51	15	3
682	52	15	3
683	53	15	3
684	54	15	3
685	55	15	3
686	56	15	3
687	57	15	3
688	58	15	3
689	59	15	3
690	60	15	3
691	61	15	3
692	62	15	3
693	63	15	3
694	64	15	3
695	65	15	3
696	66	15	3
697	67	15	3
698	68	15	3
699	69	15	3
700	70	15	3
701	71	15	10
702	72	15	0
703	73	15	0
704	74	15	0
705	75	15	0
706	76	15	0
707	77	15	0
708	78	15	0
709	79	15	0
710	80	15	0
711	81	15	0
712	82	15	0
713	83	15	0
714	84	15	0
715	85	15	0
716	86	15	0
717	87	15	0
718	88	15	0
719	89	15	0
720	93	15	0
721	150	15	0
722	160	15	0
723	170	15	0
724	200	15	3
725	201	15	3
726	202	15	3
727	203	15	3
728	204	15	3
729	205	15	3
730	206	15	3
731	207	15	3
732	208	15	3
733	209	15	3
734	210	15	3
735	211	15	3
736	212	15	3
737	213	15	3
738	214	15	3
739	215	15	3
740	216	15	3
741	217	15	3
742	218	15	3
743	219	15	3
744	220	15	3
745	221	15	0
746	222	15	0
747	223	15	3
748	224	15	3
749	225	15	3
750	226	15	3
751	227	15	3
752	250	15	3
753	251	15	3
754	252	15	3
755	253	15	3
756	0	16	10
757	1	16	10
758	2	16	0
759	3	16	10
760	4	16	6
761	5	16	8
762	6	16	8
763	7	16	8
764	8	16	10
765	9	16	10
766	10	16	3
767	11	16	8
768	12	16	10
769	13	16	4
770	14	16	4
771	15	16	4
772	16	16	4
773	17	16	4
774	18	16	4
775	19	16	4
776	20	16	4
777	21	16	4
778	22	16	4
779	23	16	4
780	24	16	4
781	25	16	4
782	26	16	4
783	27	16	4
784	28	16	4
785	29	16	4
786	30	16	4
787	31	16	4
788	32	16	4
789	33	16	4
790	34	16	4
791	35	16	4
792	36	16	4
793	37	16	4
794	38	16	4
795	39	16	4
796	40	16	4
797	41	16	4
798	42	16	4
799	43	16	4
800	44	16	4
801	45	16	4
802	46	16	4
803	47	16	4
804	48	16	4
805	49	16	4
806	50	16	4
807	51	16	4
808	52	16	4
809	53	16	4
810	54	16	4
811	55	16	4
812	56	16	4
813	57	16	4
814	58	16	4
815	59	16	4
816	60	16	4
817	61	16	4
818	62	16	4
819	63	16	4
820	64	16	4
821	65	16	4
822	66	16	4
823	67	16	4
824	68	16	4
825	69	16	4
826	70	16	4
827	71	16	4
828	72	16	0
829	73	16	0
830	74	16	0
831	75	16	0
832	76	16	0
833	77	16	0
834	78	16	0
835	79	16	0
836	80	16	0
837	81	16	0
838	82	16	0
839	83	16	0
840	84	16	0
841	85	16	0
842	86	16	0
843	87	16	0
844	88	16	0
845	89	16	0
846	93	16	0
847	150	16	0
848	160	16	0
849	170	16	0
850	200	16	5
851	201	16	5
852	202	16	5
853	203	16	5
854	204	16	5
855	205	16	5
856	206	16	5
857	207	16	5
858	208	16	5
859	209	16	5
860	210	16	5
861	211	16	5
862	212	16	5
863	213	16	5
864	214	16	5
865	215	16	5
866	216	16	5
867	217	16	5
868	218	16	5
869	219	16	5
870	220	16	5
871	221	16	0
872	222	16	0
873	223	16	5
874	224	16	5
875	225	16	5
876	226	16	5
877	227	16	5
878	250	16	5
879	251	16	5
880	252	16	5
881	253	16	5
882	0	17	10
883	1	17	10
884	2	17	0
885	3	17	10
886	4	17	7
887	5	17	9
888	6	17	9
889	7	17	9
890	8	17	10
891	9	17	10
892	10	17	4
893	11	17	9
894	12	17	10
895	13	17	5
896	14	17	5
897	15	17	5
898	16	17	5
899	17	17	5
900	18	17	5
901	19	17	5
902	20	17	5
903	21	17	5
904	22	17	5
905	23	17	5
906	24	17	5
907	25	17	5
908	26	17	5
909	27	17	5
910	28	17	5
911	29	17	5
912	30	17	5
913	31	17	5
914	32	17	5
915	33	17	5
916	34	17	5
917	35	17	5
918	36	17	5
919	37	17	5
920	38	17	5
921	39	17	5
922	40	17	5
923	41	17	5
924	42	17	5
925	43	17	5
926	44	17	5
927	45	17	5
928	46	17	5
929	47	17	5
930	48	17	5
931	49	17	5
932	50	17	5
933	51	17	5
934	52	17	5
935	53	17	5
936	54	17	5
937	55	17	5
938	56	17	5
939	57	17	5
940	58	17	5
941	59	17	5
942	60	17	5
943	61	17	5
944	62	17	5
945	63	17	5
946	64	17	5
947	65	17	5
948	66	17	5
949	67	17	5
950	68	17	5
951	69	17	5
952	70	17	5
953	71	17	5
954	72	17	0
955	73	17	0
956	74	17	0
957	75	17	0
958	76	17	0
959	77	17	0
960	78	17	0
961	79	17	0
962	80	17	0
963	81	17	0
964	82	17	0
965	83	17	0
966	84	17	0
967	85	17	0
968	86	17	0
969	87	17	0
970	88	17	0
971	89	17	0
972	93	17	0
973	150	17	0
974	160	17	0
975	170	17	0
976	200	17	6
977	201	17	6
978	202	17	6
979	203	17	6
980	204	17	6
981	205	17	6
982	206	17	6
983	207	17	6
984	208	17	6
985	209	17	6
986	210	17	6
987	211	17	6
988	212	17	6
989	213	17	6
990	214	17	6
991	215	17	6
992	216	17	6
993	217	17	6
994	218	17	6
995	219	17	6
996	220	17	6
997	221	17	0
998	222	17	0
999	223	17	6
1000	224	17	6
1001	225	17	6
1002	226	17	6
1003	227	17	6
1004	250	17	6
1005	251	17	6
1006	252	17	6
1007	253	17	6
1008	0	21	4
1009	1	21	4
1010	2	21	0
1011	3	21	4
1012	4	21	2
1013	5	21	4
1014	6	21	4
1015	7	21	4
1016	8	21	4
1017	9	21	4
1018	10	21	1
1019	11	21	4
1020	12	21	4
1021	13	21	2
1022	14	21	2
1023	15	21	2
1024	16	21	2
1025	17	21	2
1026	18	21	2
1027	19	21	2
1028	20	21	2
1029	21	21	2
1030	22	21	2
1031	23	21	2
1032	24	21	2
1033	25	21	2
1034	26	21	2
1035	27	21	2
1036	28	21	2
1037	29	21	2
1038	30	21	2
1039	31	21	2
1040	32	21	2
1041	33	21	2
1042	34	21	2
1043	35	21	2
1044	36	21	2
1045	37	21	2
1046	38	21	2
1047	39	21	2
1048	40	21	2
1049	41	21	2
1050	42	21	2
1051	43	21	2
1052	44	21	2
1053	45	21	2
1054	46	21	2
1055	47	21	2
1056	48	21	2
1057	49	21	2
1058	50	21	2
1059	51	21	2
1060	52	21	2
1061	53	21	2
1062	54	21	2
1063	55	21	2
1064	56	21	2
1065	57	21	2
1066	58	21	2
1067	59	21	2
1068	60	21	2
1069	61	21	2
1070	62	21	2
1071	63	21	2
1072	64	21	2
1073	65	21	2
1074	66	21	2
1075	67	21	2
1076	68	21	2
1077	69	21	2
1078	70	21	2
1079	71	21	2
1080	72	21	0
1081	73	21	0
1082	74	21	0
1083	75	21	0
1084	76	21	0
1085	77	21	0
1086	78	21	0
1087	79	21	0
1088	80	21	0
1089	81	21	0
1090	82	21	0
1091	83	21	0
1092	84	21	0
1093	85	21	0
1094	86	21	0
1095	87	21	0
1096	88	21	0
1097	89	21	0
1098	93	21	0
1099	150	21	0
1100	160	21	0
1101	170	21	0
1102	200	21	1
1103	201	21	1
1104	202	21	1
1105	203	21	1
1106	204	21	1
1107	205	21	1
1108	206	21	1
1109	207	21	1
1110	208	21	1
1111	209	21	1
1112	210	21	1
1113	211	21	1
1114	212	21	1
1115	213	21	1
1116	214	21	1
1117	215	21	1
1118	216	21	1
1119	217	21	1
1120	218	21	1
1121	219	21	1
1122	220	21	1
1123	221	21	0
1124	222	21	0
1125	223	21	1
1126	224	21	1
1127	225	21	1
1128	226	21	1
1129	227	21	1
1130	250	21	1
1131	251	21	1
1132	252	21	1
1133	253	21	1
1134	0	22	6
1135	1	22	6
1136	2	22	0
1137	3	22	6
1138	4	22	3
1139	5	22	6
1140	6	22	6
1141	7	22	4
1142	8	22	4
1143	9	22	4
1144	10	22	1
1145	11	22	4
1146	12	22	6
1147	13	22	2
1148	14	22	2
1149	15	22	2
1150	16	22	2
1151	17	22	2
1152	18	22	2
1153	19	22	2
1154	20	22	2
1155	21	22	2
1156	22	22	2
1157	23	22	2
1158	24	22	2
1159	25	22	2
1160	26	22	2
1161	27	22	2
1162	28	22	2
1163	29	22	2
1164	30	22	2
1165	31	22	2
1166	32	22	2
1167	33	22	2
1168	34	22	2
1169	35	22	2
1170	36	22	2
1171	37	22	2
1172	38	22	2
1173	39	22	2
1174	40	22	2
1175	41	22	2
1176	42	22	2
1177	43	22	2
1178	44	22	2
1179	45	22	2
1180	46	22	2
1181	47	22	2
1182	48	22	2
1183	49	22	2
1184	50	22	2
1185	51	22	2
1186	52	22	2
1187	53	22	2
1188	54	22	2
1189	55	22	2
1190	56	22	2
1191	57	22	2
1192	58	22	2
1193	59	22	2
1194	60	22	2
1195	61	22	2
1196	62	22	2
1197	63	22	2
1198	64	22	2
1199	65	22	2
1200	66	22	2
1201	67	22	2
1202	68	22	2
1203	69	22	2
1204	70	22	2
1205	71	22	2
1206	72	22	0
1207	73	22	0
1208	74	22	0
1209	75	22	0
1210	76	22	0
1211	77	22	0
1212	78	22	0
1213	79	22	0
1214	80	22	0
1215	81	22	0
1216	82	22	0
1217	83	22	0
1218	84	22	0
1219	85	22	0
1220	86	22	0
1221	87	22	0
1222	88	22	0
1223	89	22	0
1224	93	22	0
1225	150	22	0
1226	160	22	0
1227	170	22	0
1228	200	22	1
1229	201	22	1
1230	202	22	1
1231	203	22	1
1232	204	22	1
1233	205	22	1
1234	206	22	1
1235	207	22	1
1236	208	22	1
1237	209	22	1
1238	210	22	1
1239	211	22	1
1240	212	22	1
1241	213	22	1
1242	214	22	1
1243	215	22	1
1244	216	22	1
1245	217	22	1
1246	218	22	1
1247	219	22	1
1248	220	22	1
1249	221	22	0
1250	222	22	0
1251	223	22	1
1252	224	22	1
1253	225	22	1
1254	226	22	1
1255	227	22	1
1256	250	22	1
1257	251	22	1
1258	252	22	1
1259	253	22	1
1260	0	23	8
1261	1	23	8
1262	2	23	0
1263	3	23	8
1264	4	23	4
1265	5	23	8
1266	6	23	8
1267	7	23	5
1268	8	23	5
1269	9	23	5
1270	10	23	1
1271	11	23	5
1272	12	23	8
1273	13	23	2
1274	14	23	2
1275	15	23	2
1276	16	23	2
1277	17	23	2
1278	18	23	2
1279	19	23	2
1280	20	23	2
1281	21	23	2
1282	22	23	2
1283	23	23	2
1284	24	23	2
1285	25	23	2
1286	26	23	2
1287	27	23	2
1288	28	23	2
1289	29	23	2
1290	30	23	2
1291	31	23	2
1292	32	23	2
1293	33	23	2
1294	34	23	2
1295	35	23	2
1296	36	23	2
1297	37	23	2
1298	38	23	2
1299	39	23	2
1300	40	23	2
1301	41	23	2
1302	42	23	2
1303	43	23	2
1304	44	23	2
1305	45	23	2
1306	46	23	2
1307	47	23	2
1308	48	23	2
1309	49	23	2
1310	50	23	2
1311	51	23	2
1312	52	23	2
1313	53	23	2
1314	54	23	2
1315	55	23	2
1316	56	23	2
1317	57	23	2
1318	58	23	2
1319	59	23	2
1320	60	23	2
1321	61	23	2
1322	62	23	2
1323	63	23	2
1324	64	23	2
1325	65	23	2
1326	66	23	2
1327	67	23	2
1328	68	23	2
1329	69	23	2
1330	70	23	2
1331	71	23	2
1332	72	23	0
1333	73	23	0
1334	74	23	0
1335	75	23	0
1336	76	23	0
1337	77	23	0
1338	78	23	0
1339	79	23	0
1340	80	23	0
1341	81	23	0
1342	82	23	0
1343	83	23	0
1344	84	23	0
1345	85	23	0
1346	86	23	0
1347	87	23	0
1348	88	23	0
1349	89	23	0
1350	93	23	0
1351	150	23	0
1352	160	23	0
1353	170	23	0
1354	200	23	1
1355	201	23	1
1356	202	23	1
1357	203	23	1
1358	204	23	1
1359	205	23	1
1360	206	23	1
1361	207	23	1
1362	208	23	1
1363	209	23	1
1364	210	23	1
1365	211	23	1
1366	212	23	1
1367	213	23	1
1368	214	23	1
1369	215	23	1
1370	216	23	1
1371	217	23	1
1372	218	23	1
1373	219	23	1
1374	220	23	1
1375	221	23	0
1376	222	23	0
1377	223	23	1
1378	224	23	1
1379	225	23	1
1380	226	23	1
1381	227	23	1
1382	250	23	1
1383	251	23	1
1384	252	23	1
1385	253	23	1
1386	0	24	10
1387	1	24	10
1388	2	24	0
1389	3	24	10
1390	4	24	4
1391	5	24	10
1392	6	24	10
1393	7	24	6
1394	8	24	6
1395	9	24	6
1396	10	24	1
1397	11	24	6
1398	12	24	10
1399	13	24	2
1400	14	24	2
1401	15	24	2
1402	16	24	2
1403	17	24	2
1404	18	24	2
1405	19	24	2
1406	20	24	2
1407	21	24	2
1408	22	24	2
1409	23	24	2
1410	24	24	2
1411	25	24	2
1412	26	24	2
1413	27	24	2
1414	28	24	2
1415	29	24	2
1416	30	24	2
1417	31	24	2
1418	32	24	2
1419	33	24	2
1420	34	24	2
1421	35	24	2
1422	36	24	2
1423	37	24	2
1424	38	24	2
1425	39	24	2
1426	40	24	2
1427	41	24	2
1428	42	24	2
1429	43	24	2
1430	44	24	2
1431	45	24	2
1432	46	24	2
1433	47	24	2
1434	48	24	2
1435	49	24	2
1436	50	24	2
1437	51	24	2
1438	52	24	2
1439	53	24	2
1440	54	24	2
1441	55	24	2
1442	56	24	2
1443	57	24	2
1444	58	24	2
1445	59	24	2
1446	60	24	2
1447	61	24	2
1448	62	24	2
1449	63	24	2
1450	64	24	2
1451	65	24	2
1452	66	24	2
1453	67	24	2
1454	68	24	2
1455	69	24	2
1456	70	24	2
1457	71	24	2
1458	72	24	0
1459	73	24	0
1460	74	24	0
1461	75	24	0
1462	76	24	0
1463	77	24	0
1464	78	24	0
1465	79	24	0
1466	80	24	0
1467	81	24	0
1468	82	24	0
1469	83	24	0
1470	84	24	0
1471	85	24	0
1472	86	24	0
1473	87	24	0
1474	88	24	0
1475	89	24	0
1476	93	24	0
1477	150	24	0
1478	160	24	0
1479	170	24	0
1480	200	24	1
1481	201	24	1
1482	202	24	1
1483	203	24	1
1484	204	24	1
1485	205	24	1
1486	206	24	1
1487	207	24	1
1488	208	24	1
1489	209	24	1
1490	210	24	1
1491	211	24	1
1492	212	24	1
1493	213	24	1
1494	214	24	1
1495	215	24	1
1496	216	24	1
1497	217	24	1
1498	218	24	1
1499	219	24	1
1500	220	24	1
1501	221	24	0
1502	222	24	0
1503	223	24	1
1504	224	24	1
1505	225	24	1
1506	226	24	1
1507	227	24	1
1508	250	24	1
1509	251	24	1
1510	252	24	1
1511	253	24	1
1512	0	25	10
1513	1	25	10
1514	2	25	0
1515	3	25	10
1516	4	25	5
1517	5	25	10
1518	6	25	10
1519	7	25	7
1520	8	25	7
1521	9	25	7
1522	10	25	2
1523	11	25	7
1524	12	25	10
1525	13	25	3
1526	14	25	3
1527	15	25	3
1528	16	25	3
1529	17	25	3
1530	18	25	3
1531	19	25	3
1532	20	25	3
1533	21	25	3
1534	22	25	3
1535	23	25	3
1536	24	25	3
1537	25	25	3
1538	26	25	3
1539	27	25	3
1540	28	25	3
1541	29	25	3
1542	30	25	3
1543	31	25	3
1544	32	25	3
1545	33	25	3
1546	34	25	3
1547	35	25	3
1548	36	25	3
1549	37	25	3
1550	38	25	3
1551	39	25	3
1552	40	25	3
1553	41	25	3
1554	42	25	3
1555	43	25	3
1556	44	25	3
1557	45	25	3
1558	46	25	3
1559	47	25	3
1560	48	25	3
1561	49	25	3
1562	50	25	3
1563	51	25	3
1564	52	25	3
1565	53	25	3
1566	54	25	3
1567	55	25	3
1568	56	25	3
1569	57	25	3
1570	58	25	3
1571	59	25	3
1572	60	25	3
1573	61	25	3
1574	62	25	3
1575	63	25	3
1576	64	25	3
1577	65	25	3
1578	66	25	3
1579	67	25	3
1580	68	25	3
1581	69	25	3
1582	70	25	3
1583	71	25	10
1584	72	25	0
1585	73	25	0
1586	74	25	0
1587	75	25	0
1588	76	25	0
1589	77	25	0
1590	78	25	0
1591	79	25	0
1592	80	25	0
1593	81	25	0
1594	82	25	0
1595	83	25	0
1596	84	25	0
1597	85	25	0
1598	86	25	0
1599	87	25	0
1600	88	25	0
1601	89	25	0
1602	93	25	0
1603	150	25	0
1604	160	25	0
1605	170	25	0
1606	200	25	3
1607	201	25	3
1608	202	25	3
1609	203	25	3
1610	204	25	3
1611	205	25	3
1612	206	25	3
1613	207	25	3
1614	208	25	3
1615	209	25	3
1616	210	25	3
1617	211	25	3
1618	212	25	3
1619	213	25	3
1620	214	25	3
1621	215	25	3
1622	216	25	3
1623	217	25	3
1624	218	25	3
1625	219	25	3
1626	220	25	3
1627	221	25	0
1628	222	25	0
1629	223	25	3
1630	224	25	3
1631	225	25	3
1632	226	25	3
1633	227	25	3
1634	250	25	3
1635	251	25	3
1636	252	25	3
1637	253	25	3
1638	0	26	10
1639	1	26	10
1640	2	26	0
1641	3	26	10
1642	4	26	6
1643	5	26	10
1644	6	26	10
1645	7	26	8
1646	8	26	8
1647	9	26	8
1648	10	26	3
1649	11	26	8
1650	12	26	10
1651	13	26	4
1652	14	26	4
1653	15	26	4
1654	16	26	4
1655	17	26	4
1656	18	26	4
1657	19	26	4
1658	20	26	4
1659	21	26	4
1660	22	26	4
1661	23	26	4
1662	24	26	4
